Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
"Cuma install ini waktu sekolah di luar kota, untuk pesen lacak pesanan obat sudah sampai mana, stelah pulang ke kampung sudah tak berguna xD karna beli obat tinggal jalan kaki sebelah rumah",Negatif,Cuma install ini waktu sekolah di luar kota untuk pesen lacak pesanan obat sudah sampai mana stelah pulang ke kampung sudah tak berguna xD karna beli obat tinggal jalan kaki sebelah rumah,cuma install ini waktu sekolah di luar kota untuk pesen lacak pesanan obat sudah sampai mana stelah pulang ke kampung sudah tak berguna xd karna beli obat tinggal jalan kaki sebelah rumah,"['cuma', 'install', 'ini', 'waktu', 'sekolah', 'di', 'luar', 'kota', 'untuk', 'pesen', 'lacak', 'pesanan', 'obat', 'sudah', 'sampai', 'mana', 'stelah', 'pulang', 'ke', 'kampung', 'sudah', 'tak', 'berguna', 'xd', 'karna', 'beli', 'obat', 'tinggal', 'jalan', 'kaki', 'sebelah', 'rumah']",install sekolah kota pesen lacak pesanan obat stelah pulang kampung berguna xd karna beli obat tinggal jalan kaki sebelah rumah,install sekolah kota sen lacak pesan obat stelah pulang kampung guna xd karna beli obat tinggal jalan kaki belah rumah
Mudah digunakan,Positif,Mudah digunakan,mudah digunakan,"['mudah', 'digunakan']",mudah,mudah
Mantap,Positif,Mantap,mantap,['mantap'],mantap,mantap
"Sayang kga bsa order obat di app, selalu gagal pembayaran",Negatif,Sayang kga bsa order obat di app selalu gagal pembayaran,sayang kga bsa order obat di app selalu gagal pembayaran,"['sayang', 'kga', 'bsa', 'order', 'obat', 'di', 'app', 'selalu', 'gagal', 'pembayaran']",sayang kga bsa order obat app gagal pembayaran,sayang kga bsa order obat app gagal bayar
Dokternya cepat tanggap.. kereen,Positif,Dokternya cepat tanggap kereen,dokternya cepat tanggap kereen,"['dokternya', 'cepat', 'tanggap', 'kereen']",dokternya cepat tanggap kereen,dokter cepat tanggap kereen
Dokternya cepat tanggap keren aplikasinya,Positif,Dokternya cepat tanggap keren aplikasinya,dokternya cepat tanggap keren aplikasinya,"['dokternya', 'cepat', 'tanggap', 'keren', 'aplikasinya']",dokternya cepat tanggap keren aplikasinya,dokter cepat tanggap keren aplikasi
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Respon cepat,Positif,Respon cepat,respon cepat,"['respon', 'cepat']",respon cepat,respon cepat
Simpel dan mudah,Positif,Simpel dan mudah,simpel dan mudah,"['simpel', 'dan', 'mudah']",simpel mudah,simpel mudah
Bagus,Positif,Bagus,bagus,['bagus'],bagus,bagus
"Puas dan ramah,tepat dan pelayanan yang memuaskan",Positif,Puas dan ramah tepat dan pelayanan yang memuaskan,puas dan ramah tepat dan pelayanan yang memuaskan,"['puas', 'dan', 'ramah', 'tepat', 'dan', 'pelayanan', 'yang', 'memuaskan']",puas ramah pelayanan memuaskan,puas ramah layan muas
Good apps,Positif,Good apps,good apps,"['good', 'apps']",good apps,good apps
Cepat di respon oleh dokternya,Positif,Cepat di respon oleh dokternya,cepat di respon oleh dokternya,"['cepat', 'di', 'respon', 'oleh', 'dokternya']",cepat respon dokternya,cepat respon dokter
Ok gk bisa isi saldo setelah di update..,Negatif,Ok gk bisa isi saldo setelah di update,ok gk bisa isi saldo setelah di update,"['ok', 'gk', 'bisa', 'isi', 'saldo', 'setelah', 'di', 'update']",ok gk isi saldo update,ok gk isi saldo update
Keren,Positif,Keren,keren,['keren'],keren,keren
Bagus sekali,Positif,Bagus sekali,bagus sekali,"['bagus', 'sekali']",bagus,bagus
Keren,Positif,Keren,keren,['keren'],keren,keren
Nice,Positif,Nice,nice,['nice'],nice,nice
Jelek banget nih pelayanan. Buruk. Respon lama. Pengembalian dana aja lama bgt. Yg eror juga dia sama dokternya. Harusnya cepet dong pengembalian dana nya,Negatif,Jelek banget nih pelayanan Buruk Respon lama Pengembalian dana aja lama bgt Yg eror juga dia sama dokternya Harusnya cepet dong pengembalian dana nya,jelek banget nih pelayanan buruk respon lama pengembalian dana aja lama bgt yg eror juga dia sama dokternya harusnya cepet dong pengembalian dana nya,"['jelek', 'banget', 'nih', 'pelayanan', 'buruk', 'respon', 'lama', 'pengembalian', 'dana', 'aja', 'lama', 'bgt', 'yg', 'eror', 'juga', 'dia', 'sama', 'dokternya', 'harusnya', 'cepet', 'dong', 'pengembalian', 'dana', 'nya']",jelek banget nih pelayanan buruk respon pengembalian dana aja bgt yg eror dokternya cepet pengembalian dana nya,jelek banget nih layan buruk respon kembali dana aja bgt yg eror dokter cepet kembali dana nya
"Yah kirain tanya dokter gratis ternyata berbayar, lain x tambahin fitur gratis chat dokter khusus pengguna baru yaa..",Negatif,Yah kirain tanya dokter gratis ternyata berbayar lain x tambahin fitur gratis chat dokter khusus pengguna baru yaa,yah kirain tanya dokter gratis ternyata berbayar lain x tambahin fitur gratis chat dokter khusus pengguna baru yaa,"['yah', 'kirain', 'tanya', 'dokter', 'gratis', 'ternyata', 'berbayar', 'lain', 'x', 'tambahin', 'fitur', 'gratis', 'chat', 'dokter', 'khusus', 'pengguna', 'baru', 'yaa']",yah kirain dokter gratis berbayar x tambahin fitur gratis chat dokter khusus pengguna yaa,yah kirain dokter gratis bayar x tambahin fitur gratis chat dokter khusus guna yaa
TOP Lah... bintang yg bicara,Positif,TOP Lah bintang yg bicara,top lah bintang yg bicara,"['top', 'lah', 'bintang', 'yg', 'bicara']",top bintang yg bicara,top bintang yg bicara
Bisa dapat surat dokter,Positif,Bisa dapat surat dokter,bisa dapat surat dokter,"['bisa', 'dapat', 'surat', 'dokter']",surat dokter,surat dokter
Cepat rensponnx,Positif,Cepat rensponnx,cepat rensponnx,"['cepat', 'rensponnx']",cepat rensponnx,cepat rensponnx
Nice,Positif,Nice,nice,['nice'],nice,nice
Baguss,Positif,Baguss,baguss,['baguss'],baguss,baguss
terbaik,Positif,terbaik,terbaik,['terbaik'],terbaik,baik
Ok fasss respon,Positif,Ok fasss respon,ok fasss respon,"['ok', 'fasss', 'respon']",ok fasss respon,ok fasss respon
Meski malamÂ² order alhamdulillah terlayani,Positif,Meski malam order alhamdulillah terlayani,meski malam order alhamdulillah terlayani,"['meski', 'malam', 'order', 'alhamdulillah', 'terlayani']",malam order alhamdulillah terlayani,malam order alhamdulillah layan
Sat set set,Positif,Sat set set,sat set set,"['sat', 'set', 'set']",sat set set,sat set set
"Aplikasi penipu,dalam proses mulu gajadi jadi",Negatif,Aplikasi penipu dalam proses mulu gajadi jadi,aplikasi penipu dalam proses mulu gajadi jadi,"['aplikasi', 'penipu', 'dalam', 'proses', 'mulu', 'gajadi', 'jadi']",aplikasi penipu proses mulu gajadi,aplikasi tipu proses mulu gajadi
kenapa saya tidak bisa menambahkan saldo y?di aplikasi tidak tertera dompet saya,Negatif,kenapa saya tidak bisa menambahkan saldo y di aplikasi tidak tertera dompet saya,kenapa saya tidak bisa menambahkan saldo y di aplikasi tidak tertera dompet saya,"['kenapa', 'saya', 'tidak', 'bisa', 'menambahkan', 'saldo', 'y', 'di', 'aplikasi', 'tidak', 'tertera', 'dompet', 'saya']",saldo y aplikasi tertera dompet,saldo y aplikasi tera dompet
"Terbantu banget, gak perlu antri berlamaÂ² untuk konsul dengan dokter spesialis.",Positif,Terbantu banget gak perlu antri berlama untuk konsul dengan dokter spesialis,terbantu banget gak perlu antri berlama untuk konsul dengan dokter spesialis,"['terbantu', 'banget', 'gak', 'perlu', 'antri', 'berlama', 'untuk', 'konsul', 'dengan', 'dokter', 'spesialis']",terbantu banget gak antri berlama konsul dokter spesialis,bantu banget gak antri lama konsul dokter spesialis
ok,Positif,ok,ok,['ok'],ok,ok
Mantab selalu berkomitmen yg terbaik dng meresepkan obat sesuai kebutuhan pasien,Positif,Mantab selalu berkomitmen yg terbaik dng meresepkan obat sesuai kebutuhan pasien,mantab selalu berkomitmen yg terbaik dng meresepkan obat sesuai kebutuhan pasien,"['mantab', 'selalu', 'berkomitmen', 'yg', 'terbaik', 'dng', 'meresepkan', 'obat', 'sesuai', 'kebutuhan', 'pasien']",mantab berkomitmen yg terbaik dng meresepkan obat sesuai kebutuhan pasien,mantab komitmen yg baik dng resep obat sesuai butuh pasien
Bagus untuk konsultasi,Positif,Bagus untuk konsultasi,bagus untuk konsultasi,"['bagus', 'untuk', 'konsultasi']",bagus konsultasi,bagus konsultasi
Berjalan dgn baik aplikasi ini,Positif,Berjalan dgn baik aplikasi ini,berjalan dgn baik aplikasi ini,"['berjalan', 'dgn', 'baik', 'aplikasi', 'ini']",berjalan dgn aplikasi,jalan dgn aplikasi
Respon dokter cepat dan terhubung ke asuransi kntr,Positif,Respon dokter cepat dan terhubung ke asuransi kntr,respon dokter cepat dan terhubung ke asuransi kntr,"['respon', 'dokter', 'cepat', 'dan', 'terhubung', 'ke', 'asuransi', 'kntr']",respon dokter cepat terhubung asuransi kntr,respon dokter cepat hubung asuransi kntr
Selalu siap disaat kita tidak siap....,Positif,Selalu siap disaat kita tidak siap,selalu siap disaat kita tidak siap,"['selalu', 'siap', 'disaat', 'kita', 'tidak', 'siap']",disaat,saat
Bagus bamget,Positif,Bagus bamget,bagus bamget,"['bagus', 'bamget']",bagus bamget,bagus bamget
Respon dokter baik dan resep obat ready di apotek terdekat dan cepat pengirimannya,Positif,Respon dokter baik dan resep obat ready di apotek terdekat dan cepat pengirimannya,respon dokter baik dan resep obat ready di apotek terdekat dan cepat pengirimannya,"['respon', 'dokter', 'baik', 'dan', 'resep', 'obat', 'ready', 'di', 'apotek', 'terdekat', 'dan', 'cepat', 'pengirimannya']",respon dokter resep obat ready apotek terdekat cepat pengirimannya,respon dokter resep obat ready apotek dekat cepat kirim
Sangat membantu ðŸ˜š,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Cepat dan sesuai pesanan,Positif,Cepat dan sesuai pesanan,cepat dan sesuai pesanan,"['cepat', 'dan', 'sesuai', 'pesanan']",cepat sesuai pesanan,cepat sesuai pesan
Okkkkkkk bangettt broo,Positif,Okkkkkkk bangettt broo,okkkkkkk bangettt broo,"['okkkkkkk', 'bangettt', 'broo']",okkkkkkk bangettt broo,okkkkkkk bangettt broo
Sangat membantu,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Membantu,Positif,Membantu,membantu,['membantu'],membantu,bantu
konsultasi memuaskan,Positif,konsultasi memuaskan,konsultasi memuaskan,"['konsultasi', 'memuaskan']",konsultasi memuaskan,konsultasi muas
Makasih saya terbantu banget,Positif,Makasih saya terbantu banget,makasih saya terbantu banget,"['makasih', 'saya', 'terbantu', 'banget']",makasih terbantu banget,makasih bantu banget
Sangat membantu saya dalam memenuhi kebutuhan obat2 andan vitamin,Positif,Sangat membantu saya dalam memenuhi kebutuhan obat andan vitamin,sangat membantu saya dalam memenuhi kebutuhan obat andan vitamin,"['sangat', 'membantu', 'saya', 'dalam', 'memenuhi', 'kebutuhan', 'obat', 'andan', 'vitamin']",membantu memenuhi kebutuhan obat andan vitamin,bantu penuh butuh obat andan vitamin
Konsultasi dng dokternya sih sdh oke. Tapi obat yg sering kosong diapotik mitranya itu yg bikin kesal. Ditambah layanan Heidy yg minta sabar menunggu sampai 3jam dan taunya tetap zonk. Tolong mitra apotiknya distandarisasi obatnya. Saat ini 18feb2023 jam 8.25 komplain saya masih berlangsung dng callcenter Heidy halodok. Dan belum ada solusi,Negatif,Konsultasi dng dokternya sih sdh oke Tapi obat yg sering kosong diapotik mitranya itu yg bikin kesal Ditambah layanan Heidy yg minta sabar menunggu sampai jam dan taunya tetap zonk Tolong mitra apotiknya distandarisasi obatnya Saat ini feb jam komplain saya masih berlangsung dng callcenter Heidy halodok Dan belum ada solusi,konsultasi dng dokternya sih sdh oke tapi obat yg sering kosong diapotik mitranya itu yg bikin kesal ditambah layanan heidy yg minta sabar menunggu sampai jam dan taunya tetap zonk tolong mitra apotiknya distandarisasi obatnya saat ini feb jam komplain saya masih berlangsung dng callcenter heidy halodok dan belum ada solusi,"['konsultasi', 'dng', 'dokternya', 'sih', 'sdh', 'oke', 'tapi', 'obat', 'yg', 'sering', 'kosong', 'diapotik', 'mitranya', 'itu', 'yg', 'bikin', 'kesal', 'ditambah', 'layanan', 'heidy', 'yg', 'minta', 'sabar', 'menunggu', 'sampai', 'jam', 'dan', 'taunya', 'tetap', 'zonk', 'tolong', 'mitra', 'apotiknya', 'distandarisasi', 'obatnya', 'saat', 'ini', 'feb', 'jam', 'komplain', 'saya', 'masih', 'berlangsung', 'dng', 'callcenter', 'heidy', 'halodok', 'dan', 'belum', 'ada', 'solusi']",konsultasi dng dokternya sih sdh oke obat yg kosong diapotik mitranya yg bikin kesal ditambah layanan heidy yg sabar menunggu jam taunya zonk tolong mitra apotiknya distandarisasi obatnya feb jam komplain dng callcenter heidy halodok solusi,konsultasi dng dokter sih sdh oke obat yg kosong apotik mitra yg bikin kesal tambah layan heidy yg sabar tunggu jam tau zonk tolong mitra apotik standar obat feb jam komplain dng callcenter heidy halodok solusi
Helpful and so flexible!,Positif,Helpful and so flexible,helpful and so flexible,"['helpful', 'and', 'so', 'flexible']",helpful and so flexible,helpful and so flexible
"Cepat tanggap dalam merespon pelanggan, dan mudah menggunakan appnya, untuk pembelian obat cepat juga dalam pengirimannya",Positif,Cepat tanggap dalam merespon pelanggan dan mudah menggunakan appnya untuk pembelian obat cepat juga dalam pengirimannya,cepat tanggap dalam merespon pelanggan dan mudah menggunakan appnya untuk pembelian obat cepat juga dalam pengirimannya,"['cepat', 'tanggap', 'dalam', 'merespon', 'pelanggan', 'dan', 'mudah', 'menggunakan', 'appnya', 'untuk', 'pembelian', 'obat', 'cepat', 'juga', 'dalam', 'pengirimannya']",cepat tanggap merespon pelanggan mudah appnya pembelian obat cepat pengirimannya,cepat tanggap merespon langgan mudah appnya beli obat cepat kirim
"Saya pernah bayar untuk konsultasi tapi dokternya ga balas chat saya, sia sia kapok pake halodok",Negatif,Saya pernah bayar untuk konsultasi tapi dokternya ga balas chat saya sia sia kapok pake halodok,saya pernah bayar untuk konsultasi tapi dokternya ga balas chat saya sia sia kapok pake halodok,"['saya', 'pernah', 'bayar', 'untuk', 'konsultasi', 'tapi', 'dokternya', 'ga', 'balas', 'chat', 'saya', 'sia', 'sia', 'kapok', 'pake', 'halodok']",bayar konsultasi dokternya ga balas chat sia sia kapok pake halodok,bayar konsultasi dokter ga balas chat sia sia kapok pake halodok
Sangat membantu.,Positif,Sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Sangat membantu saat konsultasi butuh resep dokter.,Positif,Sangat membantu saat konsultasi butuh resep dokter,sangat membantu saat konsultasi butuh resep dokter,"['sangat', 'membantu', 'saat', 'konsultasi', 'butuh', 'resep', 'dokter']",membantu konsultasi butuh resep dokter,bantu konsultasi butuh resep dokter
Membantu banget lah ,Positif,Membantu banget lah,membantu banget lah,"['membantu', 'banget', 'lah']",membantu banget,bantu banget
Terima kasih sangat membantu.sekali lagi terima kasihðŸ™ðŸ™,Positif,Terima kasih sangat membantu sekali lagi terima kasih,terima kasih sangat membantu sekali lagi terima kasih,"['terima', 'kasih', 'sangat', 'membantu', 'sekali', 'lagi', 'terima', 'kasih']",terima kasih membantu terima kasih,terima kasih bantu terima kasih
Oke,Positif,Oke,oke,['oke'],oke,oke
Good,Positif,Good,good,['good'],good,good
Berguna bagi kaum yg tidak suka keramaianðŸ‘ðŸ‘,Positif,Berguna bagi kaum yg tidak suka keramaian,berguna bagi kaum yg tidak suka keramaian,"['berguna', 'bagi', 'kaum', 'yg', 'tidak', 'suka', 'keramaian']",berguna kaum yg suka keramaian,guna kaum yg suka ramai
Cukup membantu.. trimakasih,Positif,Cukup membantu trimakasih,cukup membantu trimakasih,"['cukup', 'membantu', 'trimakasih']",membantu trimakasih,bantu trimakasih
"Dapat rekomen dr sodara, moga selalu membantu ya aplikasinya ðŸ‘",Positif,Dapat rekomen dr sodara moga selalu membantu ya aplikasinya,dapat rekomen dr sodara moga selalu membantu ya aplikasinya,"['dapat', 'rekomen', 'dr', 'sodara', 'moga', 'selalu', 'membantu', 'ya', 'aplikasinya']",rekomen dr sodara moga membantu ya aplikasinya,rekomen dr sodara moga bantu ya aplikasi
Sangat membantu jika butuh dojter di waktu2 tertentu,Positif,Sangat membantu jika butuh dojter di waktu tertentu,sangat membantu jika butuh dojter di waktu tertentu,"['sangat', 'membantu', 'jika', 'butuh', 'dojter', 'di', 'waktu', 'tertentu']",membantu butuh dojter,bantu butuh dojter
"24 jam, keren dokternya",Positif,jam keren dokternya,jam keren dokternya,"['jam', 'keren', 'dokternya']",jam keren dokternya,jam keren dokter
"Mohon untuk waktu konsultasinya diperlama lagi, belum selesai konsultasi di stop ditengah jalan hmmm",Negatif,Mohon untuk waktu konsultasinya diperlama lagi belum selesai konsultasi di stop ditengah jalan hmmm,mohon untuk waktu konsultasinya diperlama lagi belum selesai konsultasi di stop ditengah jalan hmmm,"['mohon', 'untuk', 'waktu', 'konsultasinya', 'diperlama', 'lagi', 'belum', 'selesai', 'konsultasi', 'di', 'stop', 'ditengah', 'jalan', 'hmmm']",mohon konsultasinya diperlama selesai konsultasi stop ditengah jalan hmmm,mohon konsultasi lama selesai konsultasi stop tengah jalan hmmm
Bertemu dan konsultasi dengan dokter yang ramah dan solutif. Terimakasih,Positif,Bertemu dan konsultasi dengan dokter yang ramah dan solutif Terimakasih,bertemu dan konsultasi dengan dokter yang ramah dan solutif terimakasih,"['bertemu', 'dan', 'konsultasi', 'dengan', 'dokter', 'yang', 'ramah', 'dan', 'solutif', 'terimakasih']",bertemu konsultasi dokter ramah solutif terimakasih,temu konsultasi dokter ramah solutif terimakasih
Oke,Positif,Oke,oke,['oke'],oke,oke
The best banget penolong saat sakit,Positif,The best banget penolong saat sakit,the best banget penolong saat sakit,"['the', 'best', 'banget', 'penolong', 'saat', 'sakit']",the best banget penolong sakit,the best banget tolong sakit
Keren. Jd ga perlu jalan kemana mana,Positif,Keren Jd ga perlu jalan kemana mana,keren jd ga perlu jalan kemana mana,"['keren', 'jd', 'ga', 'perlu', 'jalan', 'kemana', 'mana']",keren jd ga jalan kemana,keren jd ga jalan mana
Cukup membantu dalam keadaan darurat,Positif,Cukup membantu dalam keadaan darurat,cukup membantu dalam keadaan darurat,"['cukup', 'membantu', 'dalam', 'keadaan', 'darurat']",membantu darurat,bantu darurat
